City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,wismar,53.9,11.4667,31.24,89,100,1.01,DE,1701541765
1,inhambane,-23.865,35.3833,73.02,67,0,11.01,MZ,1701541767
2,borogontsy,62.6683,131.1683,-33.83,100,100,2.71,RU,1701541768
3,adamstown,-25.066,-130.1015,71.8,82,8,14.5,PN,1701541550
4,constantia,44.1833,28.65,56.08,79,78,13.69,RO,1701541770
5,blackmans bay,-43.0167,147.3167,55.53,91,100,1.99,AU,1701541771
6,nyurba,63.2842,118.3319,-43.87,100,90,0.69,RU,1701541772
7,stanley,54.868,-1.6985,28.76,96,20,2.3,GB,1701541624
8,port-aux-francais,-49.35,70.2167,42.8,88,99,25.19,TF,1701541548
9,praia,14.9215,-23.5087,81.14,69,75,16.11,CV,1701541775
10,isafjordur,66.0755,-23.124,25.88,72,70,4.16,IS,1701541776
11,olonkinbyen,70.9221,-8.7187,29.77,84,70,17.05,SJ,1701541777
12,saint-joseph,-21.3667,55.6167,75.58,91,100,5.21,RE,1701541778
13,kristiansund,63.1115,7.732,24.85,80,75,4.61,NO,1701541779
14,lajere,11.9797,11.4443,82.02,15,14,8.63,NG,1701541780
15,waitangi,-43.9535,-176.5597,56.82,79,100,5.99,NZ,1701541781
16,issia,6.4922,-6.5856,81.68,63,33,2.57,CI,1701541782
17,san agustin de valle fertil,-30.6335,-67.4682,91.67,29,28,11.68,AR,1701541783
18,beaune,47.0833,4.75,26.24,86,65,4.23,FR,1701541786
19,nabire,-3.3667,135.4833,75.13,93,97,3.0,ID,1701541787
20,kailua-kona,19.6406,-155.9956,80.6,87,100,1.01,US,1701541788
21,navoiy,40.0844,65.3792,45.88,87,20,6.91,UZ,1701541789
22,ocean shores,46.9737,-124.1563,50.29,84,75,11.5,US,1701541579
23,gonzales,30.2385,-90.9201,75.4,95,100,3.0,US,1701541790
24,edinburgh of the seven seas,-37.0676,-12.3116,57.06,76,100,7.99,SH,1701541791
25,acapulco de juarez,16.8634,-99.8901,89.42,62,40,3.44,MX,1701541793
26,vilyuysk,63.7553,121.6247,-41.03,100,97,2.57,RU,1701541794
27,broken hill,-31.95,141.4333,62.74,63,74,11.45,AU,1701541795
28,bilibino,68.0546,166.4372,-14.37,96,88,2.77,RU,1701541796
29,puerto natales,-51.7236,-72.4875,46.85,57,75,20.71,CL,1701541797
30,puerto santa,-8.9906,-78.6456,71.91,77,89,11.68,PE,1701541798
31,albany,42.6001,-73.9662,50.81,92,98,1.01,US,1701541623
32,namibe,-15.1961,12.1522,73.67,83,80,6.55,AO,1701541800
33,tembisa,-25.9964,28.2268,80.06,48,7,1.01,ZA,1701541801
